,Season,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
58,2019,Terrance Ferguson,SG,20.0,OKC,5.0,5.0,25.6,1.8,5.0,0.36,1.4,3.6,0.389,0.4,1.4,0.286,0.5,0.0,0.0,,0.4,2.0,2.4,1.2,0.4,0.0,1.0,3.8,5.0
59,2019,Bryn Forbes,SG,25.0,SAS,7.0,7.0,30.3,3.9,8.0,0.482,2.1,4.4,0.484,1.7,3.6,0.48,0.616,0.9,1.3,0.667,0.1,3.4,3.6,1.0,0.1,0.1,0.4,2.0,10.7
60,2019,Evan Fournier,SG,26.0,ORL,5.0,5.0,35.0,4.8,13.8,0.348,1.6,6.8,0.235,3.2,7.0,0.457,0.406,1.2,1.6,0.75,0.6,2.6,3.2,2.0,1.4,0.0,2.4,2.8,12.4
61,2019,Melvin Frazier,SG,22.0,ORL,3.0,0.0,5.0,0.7,1.7,0.4,0.0,0.0,,0.7,1.7,0.4,0.4,0.3,0.7,0.5,0.3,1.0,1.3,0.0,0.3,0.0,0.0,0.0,1.7
62,2019,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
63,2019,Tim Frazier,PG,28.0,MIL,11.0,0.0,3.6,0.7,1.2,0.615,0.3,0.5,0.5,0.5,0.6,0.714,0.731,0.2,0.2,1.0,0.0,0.8,0.8,0.9,0.1,0.0,0.3,0.5,1.9
64,2019,Enes Freedom,C,26.0,POR,16.0,14.0,28.8,4.7,9.1,0.514,0.1,0.3,0.25,4.6,8.9,0.521,0.517,1.9,2.6,0.756,3.3,6.4,9.6,1.2,0.7,0.6,1.6,2.3,11.4
65,2019,Danilo Gallinari,SF,30.0,LAC,6.0,6.0,33.5,6.5,18.5,0.351,2.2,7.2,0.302,4.3,11.3,0.382,0.41,4.7,5.5,0.848,1.5,4.7,6.2,2.7,1.3,0.2,1.8,2.3,19.8
66,2019,Langston Galloway,SG,27.0,DET,4.0,0.0,27.5,2.8,8.5,0.324,2.3,6.3,0.36,0.5,2.3,0.222,0.456,0.0,0.0,,0.5,3.3,3.8,1.0,0.5,1.0,0.5,2.5,7.8
67,2019,Marc Gasol,C,34.0,TOR,24.0,24.0,30.6,3.2,7.5,0.422,1.4,3.7,0.382,1.8,3.8,0.462,0.517,1.7,1.9,0.87,0.7,5.8,6.4,3.0,0.9,1.1,0.9,3.5,9.4
68,2019,Rudy Gay,PF,32.0,SAS,7.0,0.0,25.6,4.0,10.0,0.4,1.1,2.7,0.421,2.9,7.3,0.392,0.457,2.0,2.4,0.824,1.9,5.3,7.1,1.7,0.4,0.7,1.4,1.9,11.1
69,2019,Paul George,SF,28.0,OKC,5.0,5.0,40.8,8.8,20.2,0.436,3.0,9.4,0.319,5.8,10.8,0.537,0.51,8.0,9.8,0.816,1.2,7.4,8.6,3.6,1.4,0.2,4.2,4.2,28.6
70,2019,Shai Gilgeous-Alexander,PG,20.0,LAC,6.0,6.0,28.8,4.7,10.0,0.467,1.5,3.0,0.5,3.2,7.0,0.452,0.542,2.8,3.3,0.85,0.7,2.0,2.7,3.2,1.0,0.8,0.8,2.8,13.7
71,2019,Rudy Gobert,C,26.0,UTA,5.0,5.0,30.4,3.8,6.4,0.594,0.0,0.0,,3.8,6.4,0.594,0.594,3.6,4.6,0.783,4.6,5.6,10.2,1.4,0.6,2.6,1.8,3.2,11.2
72,2019,Aaron Gordon,PF,23.0,ORL,5.0,5.0,32.8,5.8,12.4,0.468,1.6,4.0,0.4,4.2,8.4,0.5,0.532,2.0,3.8,0.526,2.2,5.0,7.2,3.6,1.2,0.2,2.6,3.2,15.2
73,2019,Eric Gordon,SG,30.0,HOU,11.0,11.0,37.3,6.1,13.6,0.447,3.5,8.6,0.4,2.6,5.0,0.527,0.573,2.2,2.5,0.857,0.5,2.1,2.5,1.3,0.6,1.0,2.5,2.0,17.8
74,2019,Treveon Graham,SG,25.0,BRK,5.0,0.0,15.8,0.4,2.0,0.2,0.0,1.4,0.0,0.4,0.6,0.667,0.2,0.6,1.2,0.5,0.4,1.6,2.0,0.6,0.6,0.2,0.6,2.0,1.4
75,2019,Jerami Grant,PF,24.0,OKC,5.0,5.0,35.2,4.0,8.0,0.5,1.8,4.0,0.45,2.2,4.0,0.55,0.613,1.8,2.6,0.692,1.2,4.2,5.4,0.8,0.6,2.0,0.8,2.6,11.6
76,2019,Jerian Grant,PG,26.0,ORL,3.0,0.0,4.7,0.7,3.3,0.2,0.0,2.3,0.0,0.7,1.0,0.667,0.2,0.3,0.3,1.0,0.0,1.3,1.3,1.0,0.0,0.0,0.3,0.3,1.7
77,2019,Danny Green,SG,31.0,TOR,24.0,24.0,28.5,2.2,6.5,0.342,1.6,5.0,0.328,0.6,1.5,0.389,0.468,0.9,1.0,0.913,0.7,2.9,3.6,1.1,1.3,0.5,1.1,2.5,6.9
78,2019,Draymond Green,PF,28.0,GSW,22.0,22.0,38.7,5.2,10.4,0.498,0.6,2.6,0.228,4.6,7.8,0.587,0.526,2.3,3.2,0.718,1.9,8.3,10.1,8.5,1.5,1.5,3.8,3.9,13.3
79,2019,Gerald Green,SG,33.0,HOU,11.0,0.0,8.8,1.1,3.6,0.3,0.9,2.6,0.345,0.2,1.0,0.182,0.425,0.5,0.5,1.0,0.0,1.1,1.1,0.1,0.3,0.3,0.3,1.1,3.5
80,2019,JaMychal Green,PF,28.0,LAC,6.0,3.0,23.5,3.8,7.2,0.535,2.0,3.8,0.522,1.8,3.3,0.55,0.674,1.3,1.7,0.8,1.0,4.3,5.3,0.8,0.7,0.0,1.8,3.7,11.0
81,2019,Blake Griffin,PF,29.0,DET,2.0,2.0,29.0,9.0,19.5,0.462,3.0,6.5,0.462,6.0,13.0,0.462,0.538,3.5,3.5,1.0,2.0,4.0,6.0,6.0,1.0,0.0,3.0,4.5,24.5
82,2019,James Harden,PG,29.0,HOU,11.0,11.0,38.5,9.9,24.0,0.413,4.4,12.5,0.35,5.5,11.5,0.48,0.504,7.5,8.9,0.837,0.8,6.0,6.8,6.6,2.2,0.9,4.6,3.7,31.6
83,2019,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
84,2019,Maurice Harkless,SF,25.0,POR,16.0,16.0,24.3,3.3,6.8,0.477,0.4,1.8,0.25,2.8,5.1,0.556,0.509,1.4,2.3,0.639,1.8,3.1,4.9,1.4,1.1,1.0,1.1,3.5,8.4
85,2019,Montrezl Harrell,C,25.0,LAC,6.0,0.0,26.3,7.7,10.5,0.73,0.0,0.2,0.0,7.7,10.3,0.742,0.73,3.0,4.3,0.692,2.0,3.5,5.5,2.2,0.5,0.7,1.3,3.2,18.3
86,2019,Gary Harris,SG,24.0,DEN,14.0,14.0,36.9,5.2,11.3,0.462,1.4,4.1,0.351,3.8,7.2,0.525,0.525,2.4,2.7,0.868,0.6,3.5,4.1,2.3,0.9,0.6,0.8,2.7,14.2
87,2019,Joe Harris,SG,27.0,BRK,5.0,5.0,29.8,3.2,8.6,0.372,0.8,4.2,0.19,2.4,4.4,0.545,0.419,1.6,1.6,1.0,1.2,3.0,4.2,0.6,0.6,0.0,1.8,2.4,8.8
